         usid   latitude   longitude                 cell  earfcndl
239     12420  33.477917 -117.701111        CLL03881_7A_1      5780
240    127244  33.857939 -117.440417        CSL04530_7C_1      5780
241    127244  33.857939 -117.440417        CSL04530_7C_1      5780
242     99965  32.773465 -117.181792        CAL02088_7B_1      5780
243     25645  33.991861 -118.256000        CLL02472_2B_1      1975
244     25645  33.991861 -118.256000        CLL02472_2B_1      1975
245     15201  33.140255 -117.287101        CAL00344_7A_1      5780
246     24316  34.550222 -118.667889        CLL01615_7A_1      5780
247     11919  34.048389 -118.414028        CLL05507_7A_1      5780
248     25678  33.893401 -118.059528        CLL03111_7B_1      5780
249     92994  33.140311 -117.239790        CAL01017_7B_1      5780
250     48941  33.592861 -117.836083        CLL03504_7A_1      5780
251     11803  34.147194 -118.698639        CLL02026_2A_1      1975
252     85258  34.227556 -119.028250        CSL01538_7A_1      5780
253     12092  34.034556 -118.150139        CLL05898_7B_1      5780
254     12092  34.034556 -118.150139        CLL05898_7B_1      5780
255     12142  33.855972 -118.115472        CLL02694_2B_1      1975
256     48393  34.026161 -117.279958        CSL04608_7C_1      5780
257     48393  34.026161 -117.279958        CSL04608_7C_1      5780
258     83950  33.585444 -117.613722        CLL03806_2C_1      1975
259     25666  33.855139 -118.234333        CLL02671_7A_1      5780
260     11893  34.095662 -118.477546        CLL02201_2A_1      1975
261     11893  34.095662 -118.477546        CLL02201_2A_1      1975
262     50980  34.177639 -118.396167        CLL05259_7A_1      5780
263     15432  34.134806 -117.542000        CSL04083_7C_1      5780
264     47309  33.652056 -117.646944        CLL03813_7A_1      5780
265     48038  34.206639 -118.655833        CLL01744_7B_1      5780
266     48038  34.206639 -118.655833        CLL01744_7B_1      5780
267     36319  34.016139 -117.848333        CLL04276_7A_1      5780
268     12519  34.282917 -119.170389        CSL01491_7A_1      5780
269     11763  34.055772 -118.271518        CLL05678_7A_1      5780
270     48110  33.988694 -118.346583        CLL02438_2A_1      1975
271     11706  33.774861 -117.852111        CLL03234_7C_1      5780
272     11706  33.774861 -117.852111        CLL03234_7C_1      5780
273     12344  34.048417 -117.749111        CLL04324_7B_1      5780
274     24269  34.050278 -117.482778        CSL04474_7B_1      5780
275     12057  33.804722 -118.319139        CLL02853_7C_1      5780
276     12312  33.888167 -117.337667        CSL04686_7A_1      5780
277     50993  34.185250 -118.361111        CLL05058_7A_1      5780
278     26437  33.932000 -117.964917        CLL03028_7C_1      5780
279     48201  33.979500 -117.268556        CSL04672_7B_1      5780
280     36315  33.898250 -117.529306        CSL04461_7A_1      5780
281     12006  33.874652 -118.249159        CLL02666_7A_1      5780
282     14147  32.692283 -117.177095        CAL00339_7A_1      5780
283     14093  32.746669 -117.188894        CAL00307_7A_1      5780
284     12160  33.981494 -118.203842        CLL02480_7A_1      5780
285     11627  34.343275 -118.531344        CLL01871_7C_1      5780
286     51812  34.118942 -118.003617        CLL04227_7C_1      5780
287    105296  34.071222 -117.869889        CLL06126_7B_1      5780
288    105296  34.071222 -117.869889        CLL06126_7B_1      5780
289     12029  33.765372 -118.115720        CLL03296_7A_1      5780
290     40500  34.120333 -117.611833        CSL04075_7B_1      5780
291     86948  34.246417 -119.258194        CSL01481_7A_1      5780
292     25763  33.876833 -117.841722        CLL03611_7A_1      5780
293     83843  34.057722 -118.482528        CLL02207_7B_1      5780
294     12100  34.143361 -118.250361        CLL05037_7A_1      5780
295     12100  34.143361 -118.250361        CLL05037_7A_1      5780
296    100062  33.422405 -117.561012        CAL00783_7A_1      5780
297    100555  32.963042 -117.187723        CAL01614_7A_1      5780
298     15201  33.140245 -117.287131        CAL00344_7B_1      5780
299    100657  34.074000 -117.828500        CLL04290_7C_1      5780
300     97597  33.694083 -117.764861        CLL03660_7C_1      5780
301     12011  33.962169 -118.326994        CLL02443_7B_1      5780
